0
0
124
0,5
(632.0, 0.0, 474.2)/(0.0, 0.7, 0.0, -0.7)
(622.2, 0.0, 474.7)/(0.0, 0.7, 0.0, -0.7)
(610.1, 0.0, 474.5)/(0.0, 0.7, 0.0, -0.7)
(596.9, 0.0, 473.8)/(0.0, 0.7, 0.0, -0.7)
(582.8, 0.0, 472.8)/(0.0, 0.7, 0.0, -0.7)
(567.7, 0.0, 471.8)/(0.0, 0.7, 0.0, -0.7)
(551.8, 0.0, 470.7)/(0.0, 0.7, 0.0, -0.7)
(535.0, 0.0, 469.5)/(0.0, 0.7, 0.0, -0.7)
(518.1, 0.0, 467.8)/(0.0, 0.8, 0.0, -0.7)
(499.4, 0.0, 464.2)/(0.0, 0.8, 0.0, -0.6)
(482.0, 0.0, 458.6)/(0.0, 0.8, 0.0, -0.6)
(463.2, 0.0, 452.2)/(0.0, 0.8, 0.0, -0.6)
(444.0, 0.0, 443.4)/(0.0, 0.9, 0.0, -0.5)
(426.8, 0.0, 431.4)/(0.0, 0.9, 0.0, -0.4)
(413.0, 0.0, 414.8)/(0.0, 1.0, 0.0, -0.3)
(401.3, 0.0, 396.1)/(0.0, 1.0, 0.0, -0.3)
(390.2, 0.1, 376.4)/(0.0, 1.0, 0.0, -0.2)
(382.0, 0.2, 355.8)/(0.0, 1.0, 0.0, -0.2)
(378.4, 0.4, 332.6)/(0.0, 1.0, 0.0, 0.0)
(379.1, 0.6, 307.7)/(0.0, 1.0, 0.0, 0.0)
(370.2, 0.7, 285.8)/(0.0, 0.9, 0.0, -0.4)
(353.3, 0.0, 274.6)/(0.0, 0.6, 0.0, -0.8)
(339.1, 0.0, 283.9)/(0.0, 0.4, 0.0, -0.9)
(323.8, 0.0, 290.5)/(0.0, 0.6, 0.0, -0.8)
(309.5, 0.0, 293.9)/(0.0, 0.6, 0.0, -0.8)
(299.1, 0.0, 301.9)/(0.0, 0.4, 0.0, -0.9)
(291.1, 0.1, 312.3)/(0.0, 0.3, 0.0, -1.0)
(289.1, 0.2, 324.7)/(0.0, 0.0, 0.0, -1.0)
(291.4, 0.2, 336.6)/(0.0, -0.1, 0.0, -1.0)
(296.3, 0.2, 347.0)/(0.0, -0.2, 0.0, -1.0)
(299.8, 0.2, 357.6)/(0.0, -0.1, 0.0, -1.0)
(301.1, 0.2, 369.2)/(0.0, 0.0, 0.0, -1.0)
(301.9, 0.2, 382.9)/(0.0, 0.0, 0.0, -1.0)
(302.8, 0.3, 397.0)/(0.0, 0.0, 0.0, -1.0)
(303.7, 0.6, 412.1)/(0.0, 0.0, 0.0, -1.0)
(304.6, 1.0, 427.3)/(0.0, 0.0, 0.0, -1.0)
(305.5, 1.4, 444.0)/(0.0, 0.0, 0.0, -1.0)
(306.6, 1.7, 462.1)/(0.0, 0.0, 0.0, -1.0)
(307.7, 1.8, 480.3)/(0.0, 0.0, 0.0, -1.0)
(308.8, 1.8, 499.2)/(0.0, 0.0, 0.0, -1.0)
(309.9, 1.8, 518.0)/(0.0, 0.0, 0.0, -1.0)
(311.5, 1.9, 538.2)/(0.0, -0.1, 0.0, -1.0)
(315.0, 2.7, 559.6)/(0.0, -0.1, 0.0, -1.0)
(322.8, 3.9, 579.4)/(0.0, -0.2, 0.0, -1.0)
(332.8, 4.6, 598.6)/(0.0, -0.3, 0.0, -1.0)
(344.8, 4.5, 617.4)/(0.0, -0.3, 0.0, -1.0)
(359.6, 5.8, 634.6)/(0.0, -0.4, 0.0, -0.9)
(375.7, 7.2, 651.0)/(0.0, -0.4, 0.0, -0.9)
(392.8, 7.4, 667.0)/(0.0, -0.4, 0.0, -0.9)
(411.0, 10.0, 680.6)/(0.1, -0.5, 0.0, -0.9)
(432.4, 13.0, 692.7)/(0.0, -0.5, 0.0, -0.8)
(454.3, 13.8, 700.1)/(0.0, -0.6, 0.0, -0.8)
(478.2, 12.8, 705.6)/(0.0, -0.6, 0.0, -0.8)
(504.1, 12.0, 708.6)/(0.0, -0.7, 0.0, -0.7)
(529.6, 11.9, 709.1)/(0.0, -0.7, 0.0, -0.7)
(555.4, 11.8, 708.0)/(0.0, -0.7, 0.0, -0.7)
(581.5, 11.8, 706.6)/(0.0, -0.7, 0.0, -0.7)
(607.9, 11.9, 705.0)/(0.0, -0.7, 0.0, -0.7)
(633.6, 11.9, 703.5)/(0.0, -0.7, 0.0, -0.7)
(660.5, 11.9, 701.1)/(0.0, -0.7, 0.0, -0.7)
(687.6, 12.0, 698.2)/(0.0, -0.7, 0.0, -0.7)
(716.0, 12.0, 694.9)/(0.0, -0.8, 0.0, -0.7)
(742.5, 12.0, 686.8)/(0.0, -0.8, 0.0, -0.6)
(767.3, 12.0, 673.9)/(0.0, -0.9, 0.0, -0.5)
(790.8, 12.0, 658.4)/(0.0, -0.9, 0.0, -0.4)
(809.5, 11.9, 638.7)/(0.0, -0.9, 0.0, -0.3)
(827.3, 11.9, 614.9)/(0.0, -1.0, 0.0, -0.3)
(843.3, 11.9, 592.4)/(0.0, -1.0, 0.0, -0.3)
(857.2, 11.9, 567.1)/(0.0, -1.0, 0.0, -0.2)
(862.6, 11.9, 537.6)/(0.0, -1.0, 0.0, 0.0)
(863.3, 12.1, 509.6)/(0.0, -1.0, 0.0, 0.0)
(861.7, 11.8, 479.1)/(0.0, -1.0, 0.0, 0.1)
(857.0, 11.1, 451.2)/(0.0, -1.0, 0.0, 0.1)
(852.3, 9.4, 420.7)/(0.0, -1.0, 0.0, 0.0)
(851.8, 3.8, 392.4)/(0.0, -1.0, 0.1, 0.0)
(851.7, 0.5, 365.6)/(0.0, -1.0, 0.0, 0.0)
(849.1, 0.2, 341.2)/(0.0, -1.0, 0.0, 0.1)
(845.7, 0.3, 319.9)/(0.0, -1.0, 0.0, 0.1)
(842.8, 0.1, 297.2)/(0.0, -1.0, 0.0, 0.1)
(842.1, 0.0, 272.9)/(0.0, -1.0, 0.0, 0.0)
(843.7, 0.0, 249.0)/(0.0, -1.0, 0.0, 0.0)
(846.8, 0.0, 225.9)/(0.0, -1.0, 0.0, -0.1)
(849.6, 0.0, 201.4)/(0.0, -1.0, 0.0, 0.0)
(849.7, 0.0, 175.4)/(0.0, -1.0, 0.0, 0.0)
(848.3, 0.0, 151.0)/(0.0, -1.0, 0.0, 0.1)
(843.6, 0.0, 125.7)/(0.0, -1.0, 0.0, 0.1)
(833.2, 0.0, 100.8)/(0.0, -1.0, 0.0, 0.3)
(815.2, 0.0, 83.3)/(0.0, -0.9, 0.0, 0.5)
(792.7, 0.0, 78.5)/(0.0, -0.8, 0.0, 0.6)
(771.5, 0.0, 69.4)/(0.0, -0.9, 0.0, 0.5)
(749.2, 0.0, 62.0)/(0.0, -0.8, 0.0, 0.6)
(725.5, 0.0, 58.1)/(0.0, -0.8, 0.0, 0.7)
(701.1, 0.0, 56.1)/(0.0, -0.7, 0.0, 0.7)
(677.3, 0.0, 56.1)/(0.0, -0.7, 0.0, 0.7)
(651.4, 0.0, 59.5)/(0.0, -0.6, 0.0, 0.8)
(626.7, 0.0, 66.1)/(0.0, -0.6, 0.0, 0.8)
(604.0, 0.0, 76.1)/(0.0, -0.5, 0.0, 0.9)
(583.9, 0.0, 92.6)/(0.0, -0.3, 0.0, 0.9)
(567.9, 0.0, 115.1)/(0.0, -0.3, 0.0, 1.0)
(555.3, 0.0, 138.7)/(0.0, -0.2, 0.0, 1.0)
(546.0, 0.0, 164.1)/(0.0, -0.2, 0.0, 1.0)
(537.8, 0.0, 190.1)/(0.0, -0.1, 0.0, 1.0)
(532.4, 0.0, 217.1)/(0.0, -0.1, 0.0, 1.0)
(529.7, 0.0, 244.8)/(0.0, 0.0, 0.0, 1.0)
(529.9, 0.0, 271.6)/(0.0, 0.0, 0.0, 1.0)
(539.1, 0.0, 298.6)/(0.0, 0.3, 0.0, 0.9)
(560.6, 0.0, 313.7)/(0.0, 0.5, 0.0, 0.8)
(587.2, 0.0, 322.3)/(0.0, 0.6, 0.0, 0.8)
(609.5, 0.0, 331.1)/(0.0, 0.6, 0.0, 0.8)
